redshift,FF
10.877,1.6962968666666672e-05
11.09,0.0004034785983703705
11.313,0.001929364274592593
11.546,0.0073025120560370384
11.791,0.02331196817266667
12.048,0.06218754223362964
12.318,0.14037377464107412
12.603,0.26726214602385195
12.903,0.43284303612103714
13.221,0.6638373352570002
13.557,0.8014894979768521
13.914,0.8958154912506299
14.294,0.9502256726430004
14.699,0.9780413111038521
15.132,0.9909579365471114
15.596,0.9964763258465559
16.095,0.9989793302614077
16.633,0.9996037833261113
17.215,0.9998222802221857
17.848,0.999892560366852
18.54,0.9999170021862225
19.298,0.9999207025218151
