filename,redshift,T,B,L,Volume,Area,IMC,Genus
Shapefinders_copy.0_z12.048000_scen0_subbox0,12.048,0.865322,1.311585,10.023968,47.654344,165.213712,0.0,97.350452
Shapefinders_copy.0_z10.478000_scen0_subbox0,10.478,0.845738,1.2943050000000005,10.469892,48.006842,170.289755,0.0,101.263563
Shapefinders_copy.0_z11.546000_scen0_subbox0,11.546,0.989369,1.5188760000000006,8.319745,52.369585,158.796993,0.0,84.752081
Shapefinders_copy.0_z11.791000_scen0_subbox0,11.791,1.141975,1.7014660000000004,7.107013,57.843657,151.956863,0.0,71.764776
Shapefinders_copy.0_z10.290000_scen0_subbox0,10.29,0.893591,1.380295000000001,15.470375,79.92822,268.338356,0.0,152.569418
Shapefinders_copy.0_z11.313000_scen0_subbox0,11.313,1.131349,1.7108969999999994,10.342337,83.854735,222.357827,0.0,100.72971
Shapefinders_copy.0_z10.877000_scen0_subbox0,10.877,0.941192,1.4530350000000007,15.203709,87.094785,277.61016,0.0,144.784156
Shapefinders_copy.0_z11.090000_scen0_subbox0,11.09,1.197686,1.7656669999999997,10.132013,89.750336,224.809316,0.0,102.185268
Shapefinders_copy.0_z10.110000_scen0_subbox0,10.11,1.234903,1.558238000000002,15.032512,121.167725,294.357629,0.0,144.904142
Shapefinders_copy.0_z10.673000_scen0_subbox0,10.673,0.98375,1.5130440000000012,24.351501,151.827472,463.006485,0.0,235.558846
Shapefinders_copy.0_z9.938000_scen0_subbox0,9.938,1.272874,1.922991000001504,34688.063074,355657.152601,838237.805109,0.0,336325.153076
Shapefinders_copy.0_z9.771000_scen0_subbox0,9.771,1.305859,1.9873560000124237,143367.762283,1558518.838906,3580445.536504,0.0,1386363.308936
Shapefinders_copy.0_z9.611000_scen0_subbox0,9.611,1.342269,2.0644389999949784,207771.889319,2411665.607162,5390122.956073,0.0,1999920.462909
Shapefinders_copy.0_z9.457000_scen0_subbox0,9.457,1.395113,2.1774640000135523,251622.79947,3201835.016723,6885109.388648,0.0,2408710.711506
Shapefinders_copy.0_z9.308000_scen0_subbox0,9.308,1.463441,2.329425999981925,280314.240825,4002745.001456,8205479.917156,0.0,2664833.85216
Shapefinders_copy.0_z9.164000_scen0_subbox0,9.164,1.543506,2.5266659999779018,296981.475772,4851478.764764,9429465.23437,0.0,2798482.328812
Shapefinders_copy.0_z9.026000_scen0_subbox0,9.026,1.636373,2.774482999973137,300689.107991,5718350.480889,10483579.921513,0.0,2803443.176886
Shapefinders_copy.0_z8.892000_scen0_subbox0,8.892,1.739911,3.0875740000161676,293853.59247,6612474.146624,11401400.71153,0.0,2703083.86466
Shapefinders_copy.0_z8.762000_scen0_subbox0,8.762,1.853057,3.470899999985967,278595.358103,7505739.792306,12151388.140588,0.0,2519921.161874
Shapefinders_copy.0_z8.636000_scen0_subbox0,8.636,1.976685,3.959564999998836,256588.623925,8412227.129882,12767172.314164,0.0,2271091.466447
Shapefinders_copy.0_z8.515000_scen0_subbox0,8.515,2.114572,4.615884999997841,228399.814507,9338171.634081,13248312.116868,0.0,1961651.329212
Shapefinders_copy.0_z8.397000_scen0_subbox0,8.397,2.263289,5.515550000005973,196430.800597,10271339.540532,13614706.974096,0.0,1616517.134184
Shapefinders_copy.0_z8.283000_scen0_subbox0,8.283,2.417244,6.732117999996472,163507.358489,11145464.437484,13832442.770592,0.0,1266312.428477
Shapefinders_copy.0_z8.172000_scen0_subbox0,8.172,2.588715,8.640019999996959,128394.831402,12029156.178977,13940300.544205,0.0,897392.762366
Shapefinders_copy.0_z8.064000_scen0_subbox0,8.064,2.767778,11.753290999994896,94434.784528,12868006.868839,13947659.254643,0.0,543600.948548
Shapefinders_copy.0_z7.960000_scen0_subbox0,7.96,2.958042,18.086739999997214,61061.274346,13684189.424185,13878292.331789,0.0,198245.379528
Shapefinders_copy.0_z7.859000_scen0_subbox0,7.859,3.161669,37.59742799999829,29048.632369,14464015.404813,13724410.190278,0.0,-129239.505166
Shapefinders_copy.0_z7.760000_scen0_subbox0,7.76,3.380069,814.5059949999998,1319.72032,15219147.391778,13507844.507354,0.0,-436631.504161
Shapefinders_copy.0_z7.664000_scen0_subbox0,7.664,3.607882,37.24283899999888,28285.336797,15920071.855455,13237744.57099,0.0,-706930.203963
Shapefinders_copy.0_z7.570000_scen0_subbox0,7.57,3.850319,19.418646000002937,52965.488826,16588121.843423,12924739.401544,0.0,-952130.880158
Shapefinders_copy.0_z7.480000_scen0_subbox0,7.48,4.104346,13.369538000006365,74890.410361,17213738.079835,12582081.094762,0.0,-1167216.998182
Shapefinders_copy.0_z7.391000_scen0_subbox0,7.391,4.37038,10.376897000002213,93695.005728,17798844.218913,12217822.54674,0.0,-1348957.683216
Shapefinders_copy.0_z7.305000_scen0_subbox0,7.305,4.66431,8.472394000004101,111012.412937,18376114.938753,11819185.841385,0.0,-1514024.981417
Shapefinders_copy.0_z7.221000_scen0_subbox0,7.221,4.974865,7.2143940000061315,125836.720187,18918084.29189,11408200.318245,0.0,-1652513.335839
Shapefinders_copy.0_z7.139000_scen0_subbox0,7.139,5.290184,6.37837999999233,137259.830309,19400514.321711,11001798.398325,0.0,-1755649.255553
Shapefinders_copy.0_z7.059000_scen0_subbox0,7.059,5.649873,5.6882919999937505,147761.353904,19891614.238876,10562156.228769,0.0,-1848107.670506
Shapefinders_copy.0_z6.981000_scen0_subbox0,6.981,5.164604,6.031749000006639,155963.200904,20351245.525137,10122062.286103,0.0,-1916114.938152
Shapefinders_copy.0_z6.905000_scen0_subbox0,6.905,4.77274,6.431571999987113,161539.646523,20770772.884556,9688505.830611,0.0,-1957310.814767
Shapefinders_copy.0_z6.830000_scen0_subbox0,6.83,4.450196,6.870994999995451,165314.931554,21173830.14183,9244875.590601,0.0,-1979998.216177
Shapefinders_copy.0_z6.757000_scen0_subbox0,6.757,4.189253,7.3472300000035,167180.945914,21554384.073175,8801024.924648,0.0,-1982924.021674
Shapefinders_copy.0_z6.686000_scen0_subbox0,6.686,3.975179,7.86824400001299,167279.029845,21916169.09272,8356185.908736,0.0,-1967296.653664
Shapefinders_copy.0_z6.617000_scen0_subbox0,6.617,3.793942,8.45616399999223,165713.365157,22269490.577626,7900564.426233,0.0,-1934716.55609
Shapefinders_copy.0_z6.549000_scen0_subbox0,6.549,3.638885,9.107409000011403,162850.926657,22606949.234549,7446777.824009,0.0,-1888694.987673
